connector,pin,kicad_number,name,electrical_type
J1,1,J1.1,GND,power_in
J1,2,J1.2,GND,power_in
J1,3,J1.3,L9_IOT31A_B0,bidirectional
J1,4,J1.4,H5_IOT61A_B1,bidirectional
J1,5,J1.5,K9_IOT31B_B0,bidirectional
J1,6,J1.6,J5_IOT61B_B1,bidirectional
J1,7,J1.7,J8_IOT56A_B0,bidirectional
J1,8,J1.8,L5_IOT63A_B1,bidirectional
J1,9,J1.9,K8_IOT56B_B0,bidirectional
J1,10,J1.10,K5_IOT63B_B1,bidirectional
J1,11,J1.11,F7_IOT58A_B0,bidirectional
J1,12,J1.12,H8_IOT66A_B1,bidirectional
J1,13,J1.13,F6_IOT58B_B0,bidirectional
J1,14,J1.14,H7_IOT66B_B1,bidirectional
J1,15,J1.15,GND,power_in
J1,16,J1.16,G7_IOT68A_B1,bidirectional
J1,17,J1.17,E8_READY_B4,bidirectional
J1,18,J1.18,G8_IOT68B_B1,bidirectional
J1,19,J1.19,B3_IOB56A_B4,bidirectional
J1,20,J1.20,F5_IOT72A_B1,bidirectional
J1,21,J1.21,C3_IOB56B_B4,bidirectional
J1,22,J1.22,G5_IOT72B_B1,bidirectional
J1,23,J1.23,E3_IOB60A_B4,bidirectional
J1,24,J1.24,VCCIO0_B1,power_in
J1,25,J1.25,D7_DONE_B4,bidirectional
J1,26,J1.26,VCCIO0_B1,power_in
J1,27,J1.27,GND,power_in
J1,28,J1.28,GND,power_in
J1,29,J1.29,VCCIO6_B7,power_in
J1,30,J1.30,L6_IOT23A_B7,bidirectional
J1,31,J1.31,VCCIO6_B7,power_in
J1,32,J1.32,K6_IOT23B_B7,bidirectional
J1,33,J1.33,J11_IOT1A_B7,bidirectional
J1,34,J1.34,K7_IOT21A_B7,bidirectional
J1,35,J1.35,J10_IOT1B_B7,bidirectional
J1,36,J1.36,J7_IOT21B_B7,bidirectional
J1,37,J1.37,H11_IOT3A_S1_B7,bidirectional
J1,38,J1.38,L7_IOT19A_B7,bidirectional
J1,39,J1.39,H10_IOT3B_S2_B7,bidirectional
J1,40,J1.40,L8_IOT19B_B7,bidirectional
J1,41,J1.41,G11_IOT7A_B7,bidirectional
J1,42,J1.42,L10_IOT15A_B7,bidirectional
J1,43,J1.43,G10_IOT7B_B7,bidirectional
J1,44,J1.44,K10_IOT15B_B7,bidirectional
J1,45,J1.45,GND,power_in
J1,46,J1.46,K11_IOT11A_B7,bidirectional
J1,47,J1.47,D11_IOL9A_B6,bidirectional
J1,48,J1.48,L11_IOT11B_B7,bidirectional
J1,49,J1.49,D10_IOL9B_B6,bidirectional
J1,50,J1.50,GND,power_in
J1,51,J1.51,C11_IOL5A_B6,bidirectional
J1,52,J1.52,E11_IOL3A_B6,bidirectional
J1,53,J1.53,C10_IOL5B_B6,bidirectional
J1,54,J1.54,E10_IOL3B_B6,bidirectional
J1,55,J1.55,B11_IOL12A_B6,bidirectional
J1,56,J1.56,A11_IOL14A_B6,bidirectional
J1,57,J1.57,B10_IOL12B_B6,bidirectional
J1,58,J1.58,A10_IOL14B_B6,bidirectional
J1,59,J1.59,GND,power_in
J1,60,J1.60,GND,power_in
J2,1,J2.1,GND,power_in
J2,2,J2.2,VCCIO2_B3,power_in
J2,3,J2.3,B2_IOB4A_B5,bidirectional
J2,4,J2.4,VCCIO2_B3,power_in
J2,5,J2.5,C2_IOB4B_B5,bidirectional
J2,6,J2.6,L2_IOR18A_B2,bidirectional
J2,7,J2.7,F2_IOB26A_B5,bidirectional
J2,8,J2.8,L1_IOR18B_B2,bidirectional
J2,9,J2.9,F1_IOB26B_B5,bidirectional
J2,10,J2.10,K1_IOR20A_B2,bidirectional
J2,11,J2.11,A1_IOB24A_B5,bidirectional
J2,12,J2.12,K2_IOR20B_B2,bidirectional
J2,13,J2.13,D8_RECONFIG_B5,bidirectional
J2,14,J2.14,J4_IOR22A_B2,bidirectional
J2,15,J2.15,E1_IOB12B_B5,bidirectional
J2,16,J2.16,K4_IOR22B_B2,bidirectional
J2,17,J2.17,D1_IOB14B_B5,bidirectional
J2,18,J2.18,G2_IOR24A_B2,bidirectional
J2,19,J2.19,GND,power_in
J2,20,J2.20,G1_IOR24B_B2,bidirectional
J2,21,J2.21,C1_JTAG_TCK_B10,bidirectional
J2,22,J2.22,L4_IOR31A_B2,bidirectional
J2,23,J2.23,B1_JTAG_TMS_B10,bidirectional
J2,24,J2.24,L3_IOR31B_B2,bidirectional
J2,25,J2.25,A2_JTAG_TDO_B10,bidirectional
J2,26,J2.26,J1_IOR33A_B2,bidirectional
J2,27,J2.27,A3_JTAG_TDI_B10,bidirectional
J2,28,J2.28,J2_IOR33B_B2,bidirectional
J2,29,J2.29,GND,power_in
J2,30,J2.30,G4_IOB89A_B3,bidirectional
J2,31,J2.31,M0_D3_P_MIPI,bidirectional
J2,32,J2.32,H4_IOB89B_B3,bidirectional
J2,33,J2.33,M0_D3_N_MIPI,bidirectional
J2,34,J2.34,H1_IOB91A_B3,bidirectional
J2,35,J2.35,GND,power_in
J2,36,J2.36,H2_IOB91B_B3,bidirectional
J2,37,J2.37,M0_D2_P_MIPI,bidirectional
J2,38,J2.38,VDD_1V8,power_out
J2,39,J2.39,M0_D2_N_MIPI,bidirectional
J2,40,J2.40,VDD_1V8,power_out
J2,41,J2.41,GND,power_in
J2,42,J2.42,VDD_2V5,power_out
J2,43,J2.43,M0_CK_P_MIPI,bidirectional
J2,44,J2.44,VDD_2V5,power_out
J2,45,J2.45,M0_CK_N_MIPI,bidirectional
J2,46,J2.46,VDD_3V3,power_out
J2,47,J2.47,GND,power_in
J2,48,J2.48,VDD_3V3,power_out
J2,49,J2.49,M0_D1_P_MIPI,bidirectional
J2,50,J2.50,VDD_3V3,power_out
J2,51,J2.51,M0_D1_N_MIPI,bidirectional
J2,52,J2.52,VDD_5V,power_in
J2,53,J2.53,GND,power_in
J2,54,J2.54,VDD_5V,power_in
J2,55,J2.55,M0_D0_P_MIPI,bidirectional
J2,56,J2.56,VDD_5V,power_in
J2,57,J2.57,M0_D0_N_MIPI,bidirectional
